text,label
"While this method has worked well, other approaches should be weighed too.",healthy_argument
All experts agree on this — the ones who disagree aren’t real experts.,stacking_deck
My dog loves to run around in the backyard.,non_argument
Let’s weigh both the advantages and the disadvantages before making a decision.,healthy_argument
Let’s weigh both the advantages and the disadvantages before making a decision.,healthy_argument
The facts all support my argument — just look at these hand-picked studies.,stacking_deck
"Our product is the perfect, just ask our most loyal customers.",stacking_deck
The critics who liked it say it's great — ignore the negative reviews.,stacking_deck
All experts agree on this — the ones who disagree aren’t real experts.,stacking_deck
"We should examine evidence from a range of perspectives, both for and against.",healthy_argument
The critics who liked it say it's great — ignore the negative reviews.,stacking_deck
My dog loves to run around in the backyard.,non_argument
You’ve just heard the good things because the bad stuff isn’t worth discussing.,stacking_deck
It’s important to include perspectives that challenge our assumptions.,healthy_argument
There’s a great movie playing at the cinema nearby.,non_argument
I went shopping last evening and bought a new shirt.,non_argument
You’ve just heard the good things because the bad stuff isn’t worth discussing.,stacking_deck
Let’s just hear from the successful people; the rest probably have nothing valuable to add.,stacking_deck
My dog loves to run around in the backyard.,non_argument
Let’s weigh both the advantages and the disadvantages before making a decision.,healthy_argument
"While this method has worked well, other approaches should be weighed too.",healthy_argument
The facts all support my argument — just look at these hand-picked studies.,stacking_deck
All experts agree on this — the ones who disagree aren’t real experts.,stacking_deck
I went shopping last evening and bought a new shirt.,non_argument
Let’s just hear from the successful people; the rest probably have nothing valuable to add.,stacking_deck
I went shopping last evening and bought a new shirt.,non_argument
"Everyone agrees that this is the greatest way to go, so we shouldn’t even consider alternatives.",stacking_deck
I enjoy painting as a interest.,non_argument
I went shopping last evening and bought a new shirt.,non_argument
I'm planning to cook pasta for dinner tonight.,non_argument
Let’s just hear from the successful people; the rest probably have nothing valuable to add.,stacking_deck
"Everyone agrees that this is the top way to go, so we shouldn’t even consider alternatives.",stacking_deck
It’s important to include perspectives that challenge our assumptions.,healthy_argument
"We should examine evidence from a range of perspectives, both for and against.",healthy_argument
I'm planning to cook pasta for dinner tonight.,non_argument
Let’s just hear from the successful people; the rest probably have nothing valuable to add.,stacking_deck
All experts agree on this — the ones who disagree aren’t real experts.,stacking_deck
All experts agree on this — the ones who disagree aren’t real experts.,stacking_deck
There’s a great movie playing at the cinema nearby.,non_argument
The facts all support my argument — just look at these hand-picked studies.,stacking_deck
"While this method has worked well, other approaches should be weighed too.",healthy_argument
Let’s weigh both the advantages and the disadvantages before making a decision.,healthy_argument
Let’s just hear from the successful people; the rest probably have nothing valuable to add.,stacking_deck
All experts agree on this — the ones who disagree aren’t real experts.,stacking_deck
Let’s weigh both the advantages and the disadvantages before making a decision.,healthy_argument
My dog loves to run around in the backyard.,non_argument
"Our product is the greatest, just ask our most loyal customers.",stacking_deck
I went shopping last evening and bought a new shirt.,non_argument
All experts agree on this — the ones who disagree aren’t real experts.,stacking_deck
The facts all support my argument — just look at these hand-picked studies.,stacking_deck
I'm planning to cook pasta for dinner tonight.,non_argument
It’s important to include perspectives that challenge our assumptions.,healthy_argument
Let’s weigh both the advantages and the disadvantages before making a decision.,healthy_argument
There’s a great movie playing at the cinema nearby.,non_argument
I went shopping last evening and bought a new shirt.,non_argument
I enjoy painting as a interest.,non_argument
You’ve just heard the good things because the bad stuff isn’t worth discussing.,stacking_deck
It’s important to include perspectives that challenge our assumptions.,healthy_argument
The traffic was terrible this morning.,non_argument
"While this method has worked well, other approaches should be weighed too.",healthy_argument
It’s important to include perspectives that challenge our assumptions.,healthy_argument
